physionet,import,super_table_col_name,component_id,component
No,No,not_reviewed,1476041781,DRVVT Screen/Confirm Ratio
No,No,not_reviewed,1514902,Arachidonic Acid
No,No,not_reviewed,381168396,U46619
No,No,not_reviewed,1732303373,ADAMTS13 Activity
No,No,not_reviewed_(<500),1512676,Complement Activity Enzyme Total
No,No,not_reviewed_(<500),941094813,Everolimus (Afinitor) Level
No,No,not_reviewed_(<500),381169563,High ADP
No,No,not_reviewed_(<500),1514578,Chromogranin A
No,No,not_reviewed_(<500),1512660,Testosterone Free
No,No,not_reviewed_(<500),1512662,TESSTOTAL
No,No,not_reviewed_(<500),186736388,Eosinophil CSF Tube 4
No,No,not_reviewed_(<500),1512977,Calcium Level Urine Random
No,No,not_reviewed_(<500),186736352,Lymphocyte CSF Tube 3
No,No,not_reviewed_(<500),306566215,Smith Antibody IgG Interpretation
No,No,not_reviewed_(<500),1514257,HLA Class II Type by High Resolution
No,No,not_reviewed_(<500),9424585,HLA Class I Type by Molecular High Resol
No,No,not_reviewed_(<500),1513914,Hepatitis BE Antibody
No,No,not_reviewed_(<500),749855226,"O2 Saturation, Ven - Anes"
No,No,not_reviewed_(<500),1512497,Thyroid Stimulating Immunoglobulin
No,No,not_reviewed_(<500),1512200,West Nile IGG
No,No,not_reviewed_(<500),6110451,Aspirin Works 11-Dehydrothromboxane
No,No,not_reviewed_(<500),1513412,MOCHA Interpretation
No,No,not_reviewed_(<500),145295670,Serine Protease 3 Reflex
No,No,not_reviewed_(<500),651859015,Color CSF Tube 3
No,No,not_reviewed_(<500),1514768,Body Fluid Hematocrit
No,No,not_reviewed_(<500),749093624,Body Fluid Type for Hematocrit
No,No,not_reviewed_(<500),1107018227,Clarity CSF Tube 3
No,No,not_reviewed_(<500),23740288,"Toxoplasma Gandii by PCR, CSF"
No,No,not_reviewed_(<500),23740289,Toxoplasma Gondii Source
No,No,not_reviewed_(<500),306573886,SCL70 Antibody IgG Interpretation
No,No,not_reviewed_(<500),1513669,IIB/IIIA Platelet Antibody
No,No,not_reviewed_(<500),1513705,IA/IIA Platelet Antibody
No,No,not_reviewed_(<500),1513704,IB/IX Platelet Antibody
No,No,not_reviewed_(<500),1513759,HLA Platelet Antibody
No,No,not_reviewed_(<500),1513913,Hepatitis BE Antigen
No,No,not_reviewed_(<500),1513629,IV Platelet Antibody
No,No,not_reviewed_(<500),1512443,Sodium Level Urine 24 Hour
No,No,not_reviewed_(<500),306567358,JO1 Antibody IgG Interpretation
No,No,not_reviewed_(<500),2304223819,E. coli K1-MEPP
No,No,not_reviewed_(<500),2304224669,CMV-MEPP
No,No,not_reviewed_(<500),2304224001,H.flu-MEPP
No,No,not_reviewed_(<500),2304225455,C. neoformans/C. gatti-MEPP
No,No,not_reviewed_(<500),2304224117,L. monocytogenes-MEPP
No,No,not_reviewed_(<500),2304225401,VZV-MEPP
No,No,not_reviewed_(<500),2304225103,HHV-6-MEPP
No,No,not_reviewed_(<500),2304224379,N. meningitidis-MEPP
No,No,not_reviewed_(<500),2304223317,M-E Specimen
No,No,not_reviewed_(<500),2304224541,S. agalactiae-MEPP
No,No,not_reviewed_(<500),2304224779,HSV-1-MEPP
No,No,not_reviewed_(<500),2304225207,Parechovirus-MEPP
No,No,not_reviewed_(<500),2304225025,HSV-2-MEPP
No,No,not_reviewed_(<500),2304224727,Enterovirus-MEPP
No,No,not_reviewed_(<500),2304224653,S. pneumoniae-MEPP
No,No,not_reviewed_(<500),306566450,RNP Antibody IgG Interpretation
No,No,not_reviewed_(<500),1512257,Viability
No,No,not_reviewed_(<500),1512789,SAMPLE TYP
No,No,not_reviewed_(<500),1514608,CD34
No,No,not_reviewed_(<500),6110447,Soluble Transferrin Receptor
No,No,not_reviewed_(<500),186736400,Other Cells CSF Tube 4
No,No,not_reviewed_(<500),3535915505,Glucose 6 Phosphate Dehyd
No,No,not_reviewed_(<500),257684510,HHV6 by PCR Log
No,No,not_reviewed_(<500),257684765,HHV6 by PCR Interpretation
No,No,not_reviewed_(<500),257684184,HHV6 by PCR Quantitative
No,No,not_reviewed_(<500),257683965,HHV6 by PCR Type
No,No,not_reviewed_(<500),1514889,Antistreptolysin O
No,No,not_reviewed_(<500),2081837371,Buprenorphine Level
No,No,not_reviewed_(<500),1788460,Herpes IgM Antibodies
No,No,not_reviewed_(<500),905335224,Antinuclear Antibody Interpretation ESJH
No,No,not_reviewed_(<500),465754303,Lipase Body Fluid
No,No,not_reviewed_(<500),5432537,M. Tuberculosis DNA Cerebrospinal Fluid
No,No,not_reviewed_(<500),618860934,Lipase BF Type
No,No,not_reviewed_(<500),1514956,Amylase Total
No,No,not_reviewed_(<500),1514957,Amylase Salivary Isoenzyme
No,No,not_reviewed_(<500),1514958,Amylase Pancreatic Isoenzyme
No,No,not_reviewed_(<500),186736355,Macrophage CSF Tube 3
No,No,not_reviewed_(<500),186736404,Other Cells Identified CSF Tube 4
No,No,not_reviewed_(<500),1514703,Brucella Antibody
No,No,not_reviewed_(<500),306567793,Centromere Antibody IgG Interpretation
No,No,not_reviewed_(<500),1513555,Lidocaine Level
No,No,not_reviewed_(<500),1512329,Metanephrine Urine 24 Hour
No,No,not_reviewed_(<500),1512328,Metanephrine Interpretation Urine
No,No,not_reviewed_(<500),749076449,"Metanephrine, Urine - per Volume"
No,No,not_reviewed_(<500),749076580,"Metanephrine, Urine - ratio to CRT"
No,No,not_reviewed_(<500),1512318,Normetanephrine Urine 24 Hour
No,No,not_reviewed_(<500),749077018,"Normetanephrine, Urine - per Volume"
No,No,not_reviewed_(<500),749077043,"Normetanephrine, Urine - ratio to CRT"
No,No,not_reviewed_(<500),1513576,Lead Level
No,No,not_reviewed_(<500),1563109073,C. burnetii (Q-Fever) IgG Phase I Scrn
No,No,not_reviewed_(<500),1563109353,C. burnetii (Q-Fever) IgG Phase II Scrn
No,No,not_reviewed_(<500),749093026,Neutrophil CSF Tube 2
No,No,not_reviewed_(<500),1514007,Gastrin Level
No,No,not_reviewed_(<500),1514877,Auer Rod
No,No,not_reviewed_(<500),1060170856,HHV6 by PCR Source
No,No,not_reviewed_(<500),1513292,Parvo B19 Antibody IGM
No,No,not_reviewed_(<500),1513293,Parvo B19 Antibody IGG
No,No,not_reviewed_(<500),257690331,"HHV6 Quant PCR, CSF"
No,No,not_reviewed_(<500),257690488,"HHV6 Log, CSF"
No,No,not_reviewed_(<500),257690721,"HHV6 Interpretation, CSF"
No,No,not_reviewed_(<500),257690202,"HHV6 Type, CSF"
No,No,not_reviewed_(<500),2844520295,M Tuberculosis PCR Respiratory
No,No,not_reviewed_(<500),2844526335,MTB by PCR Interpretation
No,No,not_reviewed_(<500),2844524187,M Tuberculosis Rif Resistance Resp
No,No,not_reviewed_(<500),1512199,West Nile IGM
No,No,not_reviewed_(<500),1513991,Gentamicin Level Peak
No,No,not_reviewed_(<500),251449225,HTLV I/II Antibody
No,No,not_reviewed_(<500),1793448603,Anti-EJ Antibody-Ref Lab
No,No,not_reviewed_(<500),1793447729,Anti-PL-7 Antibody-Ref Lab
No,No,not_reviewed_(<500),1793449115,Anti-OJ Antibody-Ref Lab
No,No,not_reviewed_(<500),1793448907,Anti-SRP Antibody-Ref Lab
No,No,not_reviewed_(<500),1793447321,Anti-Jo-1 Antibody IgG-Ref Lab
No,No,not_reviewed_(<500),1793447997,Anti-PL-12 Antibody-Ref Lab
No,No,not_reviewed_(<500),1361700333,Calprotectin Stool
No,No,not_reviewed_(<500),1514916,APCR Result
No,No,not_reviewed_(<500),1514918,APCR Interpretation
No,No,not_reviewed_(<500),1513699,Intrinsic Factor Antibody
No,No,not_reviewed_(<500),1514791,Angiotensin Converting Enzyme Body Fluid
No,No,not_reviewed_(<500),1513317,Oxcarbazepine Level
No,No,not_reviewed_(<500),1476041871,DRVVT Screen Mix Ratio
No,No,not_reviewed_(<500),1793448231,Anti-Ku Antibody-Ref Lab
No,No,not_reviewed_(<500),1793446959,Anti-SSA 52 (Ro) Antibody IgG-Ref Lab
No,No,not_reviewed_(<500),1793447045,Anti-SSA 60 (Ro) Antibody IgG-Ref Lab
No,No,not_reviewed_(<500),2284776957,"Anti-PM/Scl 100 Antibody, IgG-Ref Lab"
No,No,not_reviewed_(<500),1513323,Other Cell ID
No,No,not_reviewed_(<500),6711552,JC Virus Source
No,No,not_reviewed_(<500),6711547,"St. Louis Encephalitis Ab, IgG CSF"
No,No,not_reviewed_(<500),6711548,"Eastern Equine Encephalitis Ab, IgG CSF"
No,No,not_reviewed_(<500),257679601,West Nile Virus Ab IgG CSF
No,No,not_reviewed_(<500),6711549,"Western Equine Encephalitis Ab, IgG CSF"
No,No,not_reviewed_(<500),6711550,"California Encephalitis Ab, IgG CSF"
No,No,not_reviewed_(<500),342821204,Misc Bloodcenter of Wisconsin
No,No,not_reviewed_(<500),749080938,Hemoglobin Acid Electrophoresis
No,No,not_reviewed_(<500),2284777309,Anti-MDA5 Antibody-Ref Lab
No,No,not_reviewed_(<500),2284777191,Anti-NXP-2 Antibody-Ref Lab
No,No,not_reviewed_(<500),749080959,Hemoglobin Alkaline Electrophoresis
No,No,not_reviewed_(<500),6711551,JC Virus by PCR Cerebrospinal Fluid
No,No,not_reviewed_(<500),749093050,Neutrophil CSF Tube 3
No,No,not_reviewed_(<500),3027662437,ANA Titer
No,No,not_reviewed_(<500),3026286687,ANA Pattern
No,No,not_reviewed_(<500),1513667,Interleukin 2 Soluble Receptor
No,No,not_reviewed_(<500),3041924257,"Parvovirus B19 Quant by PCR, Source"
No,No,not_reviewed_(<500),3041928457,"Parvovirus B19 Quant by PCR, IU/mL"
No,No,not_reviewed_(<500),3041933191,"Parvovirus B19 Quant by PCR, Interp"
No,No,not_reviewed_(<500),3041928421,"Parvovirus B19 Quant by PCR, Log IU/mL"
No,No,not_reviewed_(<500),1515035,Aspergillus Fumigatus #2
No,No,not_reviewed_(<500),1515033,Aspergillus Fumigatus #6
No,No,not_reviewed_(<500),1515043,Aspergillus Flavus
No,No,not_reviewed_(<500),1512697,Saccharomonospora Viridis
No,No,not_reviewed_(<500),3588077747,BK Virus Interpretation-Ref Lab
No,No,not_reviewed_(<500),1514903,Aureobasidium Pullulans
No,No,not_reviewed_(<500),1514019,Factor X (10) Level
No,No,not_reviewed_(<500),1512465,Thermoactinomyces Vulgaris #1
No,No,not_reviewed_(<500),1513238,Pigeon Serum
No,No,not_reviewed_(<500),1515034,Aspergillus Fumigatus #3
No,No,not_reviewed_(<500),1515036,Aspergillus Fumigatus #1
No,No,not_reviewed_(<500),1513445,Micropolyspora Faeni
No,No,not_reviewed_(<500),1512678,Thermoactinomyces Candidus
No,No,not_reviewed_(<500),1514382,IgG Level Cerebrospinal Fluid
No,No,not_reviewed_(<500),1793447557,Anti-Mi-2 Antibody-Ref Lab
No,No,not_reviewed_(<500),1793448089,Anti-P155/140 Antibody-Ref Lab
No,No,not_reviewed_(<500),1512555,Toxoplasma IGG Quantitation
No,No,not_reviewed_(<500),186736263,Basophil CSF Tube 1
No,No,not_reviewed_(<500),1512550,Toxoplasma IGM Titer
No,No,not_reviewed_(<500),3026321011,Phentermine Confirmation Urine R
No,No,not_reviewed_(<500),3097078201,"Anti-Purkinje Cell Cytoplasm 2, CSF"
No,No,not_reviewed_(<500),3097075263,"ANNA1 Paraneoplastic Eval, CSF"
No,No,not_reviewed_(<500),3097082759,"Anti-Amphiphysin, CSF"
No,No,not_reviewed_(<500),3097081607,"ANNA3 Paraneoplastic Eval, CSF"
No,No,not_reviewed_(<500),3097076029,"Anti-Collapsin Resp Med Prot 5, CSF"
No,No,not_reviewed_(<500),3097081747,"Anti-Glial Nuclear, CSF"
No,No,not_reviewed_(<500),3097082685,"Anti-Purkinje Cell Cytoplasm TR, CSF"
No,No,not_reviewed_(<500),3097075553,"Anti-Purkinje Cell Cytoplasm 1, CSF"
No,No,not_reviewed_(<500),3097075359,"ANNA2 Paraneoplastic Eval, CSF"
No,No,not_reviewed_(<500),1515068,Acetyl Receptor Modulating
No,No,not_reviewed_(<500),1793429679,Posaconazole Level
No,No,not_reviewed_(<500),1514976,Amikacin Level Random
No,No,not_reviewed_(<500),1514899,Arsenic Level
No,No,not_reviewed_(<500),1514850,Beta 2 Transferrin Cerebrospinal Fluid
No,No,not_reviewed_(<500),45035514,Thyroglobulin Level
No,No,not_reviewed_(<500),11198199,HSV DNA Misc Specimen Type
No,No,not_reviewed_(<500),11198198,HSV DNA Misc
No,No,not_reviewed_(<500),1512213,WBC Cast/LPF
No,No,not_reviewed_(<500),1512575,Topiramate Level
No,No,not_reviewed_(<500),11198201,CMV Quant Misc Specimen Type
No,No,not_reviewed_(<500),11198200,CMV Quant Misc
No,No,not_reviewed_(<500),1513454,Mercury Level
No,No,not_reviewed_(<500),2284777505,"Anti-Fibrillarin Antibody, IgG-Ref Lab"
No,No,not_reviewed_(<500),1476041923,DRVVT Confirm Mix Ratio
No,No,not_reviewed_(<500),905334997,Crystals Interpretation Body Fluid ESJH
No,No,not_reviewed_(<500),321846446,Anti-GAD65
No,No,not_reviewed_(<500),6110449,Lyme Antibodies Total Cerebrospinal Fl
No,No,not_reviewed_(<500),1514113,Factor II (2) Level
No,No,not_reviewed_(<500),1476027445,Hepzyme APTT
No,No,not_reviewed_(<500),2284777375,Anti-TIF-1 gamma Antibody-Ref Lab
No,No,not_reviewed_(<500),2284777121,Anti-SAE1 Antibody-Ref Lab
No,No,not_reviewed_(<500),619400555,Oxymorphone Confirmation
No,No,not_reviewed_(<500),619399638,6Acetylmorphine Confirmation
No,No,not_reviewed_(<500),619396369,Hydromorphone Confirmation
No,No,not_reviewed_(<500),619396333,Hydrocodone Confirmation
No,No,not_reviewed_(<500),2956360773,"Testosterone Free, Calculated"
No,No,not_reviewed_(<500),1514506,Codeine Level
No,No,not_reviewed_(<500),619399127,Morphine Confirmation
No,No,not_reviewed_(<500),2956362695,"Testosterone Total, Measured"
No,No,not_reviewed_(<500),619400133,Oxycodone Confirmation
No,No,not_reviewed_(<500),1514673,Cancer Antigen 27 29
No,No,not_reviewed_(<500),2304215985,LGI1-IgG Antibody CBA
No,No,not_reviewed_(<500),2304215469,CASPR2-IgG Antibody CBA
No,No,not_reviewed_(<500),181001242,Malaria Screen
No,No,not_reviewed_(<500),251444271,Prolactin Level 1:10 Dilution
No,No,not_reviewed_(<500),251444353,Prolactin Level 1:100 Dilution
No,No,not_reviewed_(<500),2766451339,HIV Genotype Electronic Report
No,No,not_reviewed_(<500),2284776813,Myositis Panel Interpretive Info-Ref Lab
No,No,not_reviewed_(<500),618861040,Red Blood Cell Agglutination
No,No,not_reviewed_(<500),1515155,Lymphocytes
No,No,not_reviewed_(<500),1514084,Protein S  Antigen Free
No,No,not_reviewed_(<500),1512212,WBC
No,No,not_reviewed_(<500),1515181,#CD16
No,No,not_reviewed_(<500),1514592,%CD56 (LEU 19)
No,No,not_reviewed_(<500),1514591,CD56+
No,No,not_reviewed_(<500),1514633,CD16+
No,No,not_reviewed_(<500),1515172,#CD56
No,No,not_reviewed_(<500),1515165,#Lymphs
No,No,not_reviewed_(<500),1514634,%CD16 (LEU11c)
No,No,not_reviewed_(<500),1514619,CD3+/CD8+
No,No,not_reviewed_(<500),1514595,%CD45
No,No,not_reviewed_(<500),1514621,CD3+/4-
No,No,not_reviewed_(<500),1514620,CD3+/4+
No,No,not_reviewed_(<500),342820760,Nateglinide Level
No,No,not_reviewed_(<500),342820875,Repaglinide Level
No,No,not_reviewed_(<500),1521473,Propoxyphene Level
No,No,not_reviewed_(<500),315102538,Chlorpropamide Level
No,No,not_reviewed_(<500),342819861,Glimepiride Level
No,No,not_reviewed_(<500),315103232,Glyburide Level
No,No,not_reviewed_(<500),315103516,Glipizide Level
No,No,not_reviewed_(<500),315103098,Tolbutamide Level
No,No,not_reviewed_(<500),315102800,Tolazamide Level
No,No,not_reviewed_(<500),315103623,Acetohexamide Level
No,No,not_reviewed_(<500),3686556017,Respiratory Syncytial Virus-GCABR
No,No,not_reviewed_(<500),3686553185,Influenza B-GCABR
No,No,not_reviewed_(<500),3686547455,Influenza A-GCABR
No,No,not_reviewed_(<500),3686558597,SARS-CoV-2-GCABR
No,No,not_reviewed_(<500),1512500,Thermoactinomyces Sacchaci
No,No,not_reviewed_(<500),6110452,M. Tuberculosis DNA
No,No,not_reviewed_(<500),6110453,MTB Specimen Type
No,No,not_reviewed_(<500),397755699,Path VWD Interp
No,No,not_reviewed_(<500),1513231,Platelet Antibody Interpretation
No,No,not_reviewed_(<500),1514093,Fondaparinux Level
No,No,not_reviewed_(<500),1514705,Alkaline Phosphatase Bone Specific
No,No,not_reviewed_(<500),71797349,HLA Single Antigen Class I ABC Type
No,No,not_reviewed_(<500),186736391,Basophil CSF Tube 4
No,No,not_reviewed_(<500),1512502,Tryptase
No,No,not_reviewed_(<500),1743265133,Blood Bank Genotyping Summary and Interp
No,No,not_reviewed_(<500),11198207,Hemochromatosis Interpretation
No,No,not_reviewed_(<500),11198204,C282Y Hemochromatosis
No,No,not_reviewed_(<500),11198205,H63D Hemochromatosis
No,No,not_reviewed_(<500),11198206,S65C Hemochromatosis
No,No,not_reviewed_(<500),749077965,Hemochromatosis Mutation PCR Specimen
No,No,not_reviewed_(<500),1514991,Aluminum Level
No,No,not_reviewed_(<500),618861056,Blister Cell
No,No,not_reviewed_(<500),306582067,Cyclic Citrullinated Peptide AB IgG Int
No,No,not_reviewed_(<500),2304215615,AMPA-Receptor Antibody CBA
No,No,not_reviewed_(<500),1512578,Tobramycin Level Trough
No,No,not_reviewed_(<500),2327230565,Encephalopathy Panel Serum Interp
No,No,not_reviewed_(<500),749077286,"Cortisol, Urine - per Volume"
No,No,not_reviewed_(<500),1512451,Cortisol Free Urine 24 Hour
No,No,not_reviewed_(<500),652025020,UCort Interp
No,No,not_reviewed_(<500),2284765423,NMDA Receptor Ab
No,No,not_reviewed_(<500),1905354,Ethylene Glycol
No,No,not_reviewed_(<500),2304215699,GABA-B-Receptor Antibody CBA
No,No,not_reviewed_(<500),342793034,Cortisol Creat Ratio Urine
No,No,not_reviewed_(<500),1513079,PT PNP IMM
No,No,not_reviewed_(<500),1513081,PT PAT IMM
No,No,not_reviewed_(<500),1513084,PT MIX IMM
No,No,not_reviewed_(<500),1514663,Calcitonin Level
No,No,not_reviewed_(<500),3244878491,Somatomedin C (IGF-1) Z Score Male
No,No,not_reviewed_(<500),3244873277,Somatomedin C (IGF-1) LCMS
No,No,not_reviewed_(<500),3244864829,Somatomedin C (IGF-1) Z Score Female
No,No,not_reviewed_(<500),245580393,"Valproic Acid, Total Level"
No,No,not_reviewed_(<500),245580727,"Valproic Acid, Free Level"
No,No,not_reviewed_(<500),245580589,"Valproic Acid, % Free"
No,No,not_reviewed_(<500),342795504,CD4/CD8 Ratio BAL
No,No,not_reviewed_(<500),342795263,%CD8 BAL
No,No,not_reviewed_(<500),342795133,%CD4 BAL
No,No,not_reviewed_(<500),3097077499,"Anti-GAD65, CSF"
No,No,not_reviewed_(<500),342795051,%CD3 BAL
No,No,not_reviewed_(<500),342794916,T-Cell Lymphocytes Source BAL
No,No,not_reviewed_(<500),2817156103,Quantiferon TB Gold Plus Interp
No,No,not_reviewed_(<500),3097071637,"NMDA Receptor Antibody, CSF"
No,No,not_reviewed_(<500),3097077395,"CASPR2-IgG Antibody CBA, CSF"
No,No,not_reviewed_(<500),3097072775,"GABA-B-Receptor Antibody CBA, CSF"
No,No,not_reviewed_(<500),619395673,Cocaine Confirmation
No,No,not_reviewed_(<500),3097074303,"LGI1-IgG Antibody CBA, CSF"
No,No,not_reviewed_(<500),1513047,PTT PNP IM
No,No,not_reviewed_(<500),1513052,PTT MIX 1H
No,No,not_reviewed_(<500),3097083061,Encephalopathy Panel CSF Interp
No,No,not_reviewed_(<500),1513051,PTT MIX IM
No,No,not_reviewed_(<500),3097075175,"AMPA-Receptor Antibody CBA, CSF"
No,No,not_reviewed_(<500),1513049,PTT PAT IM
No,No,not_reviewed_(<500),1513048,PTT PNP 1H
No,No,not_reviewed_(<500),1513050,PTT PAT 1H
No,No,not_reviewed_(<500),1514688,C 1 Esterase Inhibitor
No,No,not_reviewed_(<500),2105903773,ACh Receptor Ab Panel Interp
No,No,not_reviewed_(<500),1512647,Theophylline Level
No,No,not_reviewed_(<500),2595672379,Somatomedin C (IGF-1) Z Score
No,No,not_reviewed_(<500),2595654061,Somatomedin C (IGF-1)
No,No,not_reviewed_(<500),1512838,Phosphorus Level Urine Random
No,No,not_reviewed_(<500),619394696,Cannnabinoids Confirmation
No,No,not_reviewed_(<500),3389420691,Pneumococcal Antigen Urine Random
No,No,not_reviewed_(<500),1512844,Porphobilinogen Urine Random
No,No,not_reviewed_(<500),1476036213,Silica Clotting Time Screen/Confirm Rtio
No,No,not_reviewed_(<500),321865757,Anti-Musk
No,No,not_reviewed_(<500),3416055369,"HSV 2 DNA, Lesion"
No,No,not_reviewed_(<500),3416043939,"HSV DNA Specimen, Lesion"
No,No,not_reviewed_(<500),3416053797,"HSV 1 DNA, Lesion"
No,No,not_reviewed_(<500),2817158791,Cystatin C
No,No,not_reviewed_(<500),1793429525,Lacosamide Level
No,No,not_reviewed_(<500),342812198,CYP2C9 VKORC1 Specimen Type
No,No,not_reviewed_(<500),1514136,Fetal Cell Stain
No,No,not_reviewed_(<500),1513641,Insulin Antibodies
No,No,not_reviewed_(<500),1514092,Prostate Specific Antigen Ratio
No,No,not_reviewed_(<500),1514079,Free Prostate Specific Antigen
No,No,not_reviewed_(<500),1514720,Western Blot for HIV
No,No,not_reviewed_(<500),1514170,Fetal Fibronectin
No,No,not_reviewed_(<500),3327495837,"Serine Proteinase 3, IgG"
No,No,not_reviewed_(<500),1515111,Amino Acid Profile
No,No,not_reviewed_(<500),2817161861,Cystatin C Estimated GFR
No,No,not_reviewed_(<500),1512992,RBC Cast/LPF
No,No,not_reviewed_(<500),145281966,Parietal Cell Antibody IgG
No,No,not_reviewed_(<500),1788459,Islet Cell Antibody IgG
No,No,not_reviewed_(<500),749512592,Fetal Fibronectin Interpretation
No,No,not_reviewed_(<500),1512444,Magnesium Level Urine 24 Hour
No,No,not_reviewed_(<500),2767551063,Malaria Screen Antigen T1
No,No,not_reviewed_(<500),2767551593,Malaria Screen Antigen T2
No,No,not_reviewed_(<500),1513351,Norepinephrine Plasma
No,No,not_reviewed_(<500),1514267,Dopamine Plasma
No,No,not_reviewed_(<500),1512445,Potassium Level Urine 24 Hour
No,No,not_reviewed_(<500),1514189,Epinephrine Plasma
No,No,not_reviewed_(<500),749076273,Catechol Interp
No,No,not_reviewed_(<500),1512495,Tissue Transglutaminase IgG
No,No,not_reviewed_(<500),2767552065,Malaria Interpretation
No,No,not_reviewed_(<500),455055408,CMV Ganciclovir Resistance
No,No,not_reviewed_(<500),455055257,CMV Foscarnet Resistance
No,No,not_reviewed_(<500),455054688,CMV Cidofovir Resistance
No,No,not_reviewed_(<500),1513209,Phospholipid Neutralization
No,No,not_reviewed_(<500),5432541,Enterovirus RNA
No,No,not_reviewed_(<500),1514070,Fructosamine
No,No,not_reviewed_(<500),1513967,"Glucose,  Fasting"
No,No,not_reviewed_(<500),2232997289,Norovirus GI/GII-GPP
No,No,not_reviewed_(<500),2232992627,Y. enterocolitica-GPP
No,No,not_reviewed_(<500),2232995753,C. cayetanensis-GPP
No,No,not_reviewed_(<500),2232991349,Salmonella-GPP
No,No,not_reviewed_(<500),2232997807,Sapovirus-GPP
No,No,not_reviewed_(<500),2232993347,Vibrio-GPP
No,No,not_reviewed_(<500),2232997763,Rotavirus A-GPP
No,No,not_reviewed_(<500),2232990513,Campy-GPP
No,No,not_reviewed_(<500),1513977,Glucose 2 Hours
No,No,not_reviewed_(<500),2232995175,Shigella/Enteroinvasive E. coli-GPP
No,No,not_reviewed_(<500),2232996411,G. lamblia-GPP
No,No,not_reviewed_(<500),2232996993,Astrovirus-GPP
No,No,not_reviewed_(<500),2232996645,Adenovirus F 40/41-GPP
No,No,not_reviewed_(<500),2232990771,P. shigelloides-GPP
No,No,not_reviewed_(<500),2232994865,Shiga-like toxin-producing E. coli-GPP
No,No,not_reviewed_(<500),2232996025,E. histolytica-GPP
No,No,not_reviewed_(<500),2232994145,Enteroaggregative E. coli-GPP
No,No,not_reviewed_(<500),2232995559,Cryptosporidium-GPP
No,No,not_reviewed_(<500),2232993849,V. cholerae-GPP
No,No,not_reviewed_(<500),2232994299,Enteropathogenic E. coli-GPP
No,No,not_reviewed_(<500),2232994669,Enterotoxigenic E. coli-GPP
No,No,not_reviewed_(<500),1793447225,Anti-U1-RNP Antibody IgG-Ref Lab
No,No,not_reviewed_(<500),2232985171,GI Specimen
No,No,not_reviewed_(<500),1513219,Platelet Antibody Direct IGG
No,No,not_reviewed_(<500),1513218,Platelet Antibody Direct IGM
No,No,not_reviewed_(<500),2844501627,Vitamin B2 Level
No,No,not_reviewed_(<500),2232994909,E. coli O157-GPP
No,No,not_reviewed_(<500),1512540,Protein S  Antigen Total
No,No,not_reviewed_(<500),618860914,Cholesterol BF Type
No,No,not_reviewed_(<500),3244974483,"DPPX Antibody IFA, CSF"
No,No,not_reviewed_(<500),1793448381,Anti-U2-RNP Antibody IgG-Ref Lab
No,No,not_reviewed_(<500),3244976395,"GFAP IFA, CSF"
No,No,not_reviewed_(<500),3244976833,"mGluR1 Antibody IFA, CSF"
No,No,not_reviewed_(<500),1563094493,CYP2C9 Genotype
No,No,not_reviewed_(<500),1563095921,VKORC1 Genotype
No,No,not_reviewed_(<500),150255543,Donor Hepatitis C Virus (HCV) Antibody
No,No,not_reviewed_(<500),150260507,Donor HTLV-I/II Antibody
No,No,not_reviewed_(<500),150260625,Donor HIV 1-2 Antibody Screen
No,No,not_reviewed_(<500),150260134,Donor Chagas (T.cruzi) Antibody Screen
No,No,not_reviewed_(<500),150262861,Donor Syphilis
No,No,not_reviewed_(<500),1512748,Sickle Cell Screen
No,No,not_reviewed_(<500),150259904,Donor West Nile Virus
No,No,not_reviewed_(<500),150255264,Donor Hepatitis B Core Antibody
No,No,not_reviewed_(<500),150254800,Donor Hepatitis B Surface Antigen
No,No,not_reviewed_(<500),2304210935,Predicted Dombrock Phenotype-3530
No,No,not_reviewed_(<500),2304211333,Predicted Colton Phenotype-3530
No,No,not_reviewed_(<500),2304211393,Predicted Diego Phenotype-3530
No,No,not_reviewed_(<500),2304211429,Predicted Cromer Phenotype-3530
No,No,not_reviewed_(<500),2304210797,Predicted Duffy Phenotype-3530
No,No,not_reviewed_(<500),2304210919,Predicted Lutheran Phenotype-3530
No,No,not_reviewed_(<500),2304211407,Predicted Yt Phenotype-3530
No,No,not_reviewed_(<500),2304211457,Predicted Vel Phenotype-3530
No,No,not_reviewed_(<500),2304210659,Predicted Kell Phenotype-3530
No,No,not_reviewed_(<500),2304210897,Predicted MNS Phenotype-3530
No,No,not_reviewed_(<500),2304210481,Predicted Rh Phenotype-3530
No,No,not_reviewed_(<500),2304210859,Predicted Kidd Phenotype-3530
No,No,not_reviewed_(<500),1514377,Myelin Basic Protein Cerebrospinal Fluid
No,No,not_reviewed_(<500),1513573,Legionella Antibody
No,No,not_reviewed_(<500),1512181,Zonisamide Level
No,No,not_reviewed_(<500),1512455,Calcium Level Urine 24 Hour
No,No,not_reviewed_(<500),1515180,#CD19
No,No,not_reviewed_(<500),651859059,OR ART O2 CONTENT
No,No,not_reviewed_(<500),1514626,CD19 (LEU 12)
No,No,not_reviewed_(<500),11198197,Neisseria gonorrhoeae DNA  URINE
No,No,not_reviewed_(<500),11198196,Chlamydia trachomatis DNA URINE
No,No,not_reviewed_(<500),1514535,Clozapine Level
No,No,not_reviewed_(<500),1193690901,Platelet Count Citrated Plasma
No,No,not_reviewed_(<500),1513978,Glucose Rapid Gestational Screen
