import,super_table_col_name,component_id,component,proc_cat_name,proc_desc
Yes,sodium,51801,"Sodium, CSF",Cerebrospinal Fluid,Chemistry
Yes,protein,51802,"Total Protein, CSF",Cerebrospinal Fluid,Chemistry
No,Not Import,51803,"Triglycerides, CSF",Cerebrospinal Fluid,Chemistry
Yes,blood_urea_nitrogen_(bun),51804,"Urea Nitrogen, CSF",Cerebrospinal Fluid,Chemistry
No,Not Import,51805,"Uric Acid, CSF",Cerebrospinal Fluid,Chemistry
No,Not Import,51806,Voided Specimen,Cerebrospinal Fluid,Chemistry
Yes,albumin,51807,(Albumin),Joint Fluid,Chemistry
No,Not Import,51808,Alpha-1,Joint Fluid,Chemistry
No,Not Import,51809,Alpha-2,Joint Fluid,Chemistry
No,Not Import,51810,Beta,Joint Fluid,Chemistry
Yes,bicarb_(hco3),51811,"Bicarbonate,Joint Fluid",Joint Fluid,Chemistry
Yes,bilirubin_total,51812,"Bilirubin, Total, Joint Fluid",Joint Fluid,Chemistry
Yes,chloride,51813,"Chloride, Joint Fluid",Joint Fluid,Chemistry
No,Not Import,51814,"Cholesterol, Joint Fluid",Joint Fluid,Chemistry
No,Not Import,51815,Clostrid,Joint Fluid,Chemistry
No,Not Import,51816,Cryptococ,Joint Fluid,Chemistry
No,Not Import,51817,Fl Scan,Joint Fluid,Chemistry
No,Not Import,51818,"IgG, Joint Fluid",Joint Fluid,Chemistry
No,Not Import,51819,"Immunoelectrophoresis, Joint Fluid",Joint Fluid,Chemistry
Yes,osmolarity,51820,"Osmolality, Joint Fluid",Joint Fluid,Chemistry
No,Not Import,51821,"PEP, Joint Fluid, Gamma Region",Joint Fluid,Chemistry
Yes,potassium,51822,"Potassium, Joint Fluid",Joint Fluid,Chemistry
Yes,sodium,51823,"Sodium, Joint Fluid",Joint Fluid,Chemistry
No,Not Import,51824,"Triglycerides, Joint Fluid",Joint Fluid,Chemistry
Yes,blood_urea_nitrogen_(bun),51825,"Urea Nitrogen, Joint Fluid",Joint Fluid,Chemistry
No,Not Import,51826,"Uric Acid, Joint Fluid",Joint Fluid,Chemistry
No,Not Import,51827,Voided Specimen,Joint Fluid,Chemistry
No,Not Import,51828,Voided Specimen,Bone Marrow,Chemistry
No,Not Import,51829,72 Hr Fat,Other Body Fluid,Chemistry
No,Not Import,51830,Acid BAO,Other Body Fluid,Chemistry
No,Not Import,51831,Acid MAO,Other Body Fluid,Chemistry
No,Not Import,51833,"AFP, Amniotic Fluid",Other Body Fluid,Chemistry
No,Not Import,51834,"AFP, Body Fluid",Other Body Fluid,Chemistry
No,Not Import,51835,(Albumi,Other Body Fluid,Chemistry
No,Not Import,51836,<Albumin>,Other Body Fluid,Chemistry
No,Not Import,51837,Alpha-1,Other Body Fluid,Chemistry
No,Not Import,51838,Alpha-2,Other Body Fluid,Chemistry
No,Not Import,51839,Anat Path Hold,Other Body Fluid,Chemistry
No,Not Import,51840,Beta,Other Body Fluid,Chemistry
No,Not Import,51841,"Blood, Occult",Other Body Fluid,Chemistry
Yes,blood_urea_nitrogen_(bun),51842,Bun,Other Body Fluid,Chemistry
Yes,c_diff,51843,C. diff PCR,Other Body Fluid,Chemistry
Yes,c_diff,51844,C diff Toxin Antigen Assay,Other Body Fluid,Chemistry
No,Not Import,51846,Chlamydia trachomatis,Other Body Fluid,Chemistry
No,Not Import,51847,Clostrid,Other Body Fluid,Chemistry
No,Not Import,51854,Cryptococ,Other Body Fluid,Chemistry
No,Not Import,51855,"DSPC, Amniotic Fluid",Other Body Fluid,Chemistry
No,Not Import,51856,Epr,Other Body Fluid,Chemistry
No,Not Import,51857,Fl Scan,Other Body Fluid,Chemistry
No,Not Import,51858,HIV 1 Viral Load,Other Body Fluid,Chemistry
No,Not Import,51861,"Immunoelectrophoresis, Fluid",Other Body Fluid,Chemistry
No,Not Import,51862,"Immunoglobulin G, Body Fluid",Other Body Fluid,Chemistry
Yes,covid,51864,Influenza A by PCR,Other Body Fluid,Chemistry
Yes,covid,51865,Influenza A by PCR,Other Body Fluid,Chemistry
Yes,covid,51869,"Influenza A, Rapid Antigen",Other Body Fluid,Chemistry
Yes,covid,51870,"Influenza A, Rapid Antigen",Other Body Fluid,Chemistry
Yes,covid,51872,Influenza B by PCR,Other Body Fluid,Chemistry
Yes,covid,51873,Influenza B by PCR,Other Body Fluid,Chemistry
Yes,covid,51874,"Influenza B, Rapid Antigen",Other Body Fluid,Chemistry
Yes,covid,51875,"Influenza B, Rapid Antigen",Other Body Fluid,Chemistry
No,Not Import,51876,"L/S Ratio, Amniotic Fluid",Other Body Fluid,Chemistry
No,Not Import,51877,MRSA PCR,Other Body Fluid,Chemistry
No,Not Import,51879,Neisseria gonorrhoeae,Other Body Fluid,Chemistry
No,Not Import,51880,Norovirus Genogroup I,Other Body Fluid,Chemistry
No,Not Import,51881,Norovirus Genogroup II,Other Body Fluid,Chemistry
No,Not Import,51882,O & P,Other Body Fluid,Chemistry
No,Not Import,51887,"PEP, Body Fluid",Other Body Fluid,Chemistry
No,Not Import,51888,"PEP, Body Fluid, Gamma Region",Other Body Fluid,Chemistry
No,Not Import,51889,Phosphatidylglycerol,Other Body Fluid,Chemistry
No,Not Import,51893,Staph aureus PCR,Other Body Fluid,Chemistry
No,Not Import,51894,"Strep A, Rapid Antigen",Other Body Fluid,Chemistry
No,Not Import,51895,"Strep A, Rapid Antigen",Other Body Fluid,Chemistry
No,Not Import,51896,Sudan Stain,Other Body Fluid,Chemistry
No,Not Import,51897,Surfactant/Albumin,Other Body Fluid,Chemistry
No,Not Import,51898,Surf/Alb,Other Body Fluid,Chemistry
No,Not Import,51899,Trichomonas vaginalis,Other Body Fluid,Chemistry
No,Not Import,51900,"Uric Acid, Body Fluid",Other Body Fluid,Chemistry
No,Not Import,51901,Voided Specimen,Other Body Fluid,Chemistry
No,Not Import,51902,Vpf,Other Body Fluid,Chemistry
No,Not Import,51903,PAN1,Other Body Fluid,Chemistry
No,Not Import,51904,PAN2,Other Body Fluid,Chemistry
No,Not Import,51905, ,Other Body Fluid,Chemistry
No,Not Import,51906,reuse,Other Body Fluid,Chemistry
No,Not Import,51907,reuse1,Other Body Fluid,Chemistry
Yes,albumin,51910,(Albumin),Pleural,Chemistry
No,Not Import,51911,Alpha-1,Pleural,Chemistry
No,Not Import,51912,Alpha-2,Pleural,Chemistry
No,Not Import,51913,Beta,Pleural,Chemistry
Yes,c_diff,51914,Clostrid,Pleural,Chemistry
No,Not Import,51915,Cryptococ,Pleural,Chemistry
No,Not Import,51916,Fl Scan,Pleural,Chemistry
No,Not Import,51917,"Immunoelectrophoresis, Pleural",Pleural,Chemistry
No,Not Import,51918,"Immunoglobulin G, Pleural",Pleural,Chemistry
Yes,osmolarity,51919,"Osmolality, Pleural",Pleural,Chemistry
No,Not Import,51920,"PEP, Pleural, Gamma Region",Pleural,Chemistry
Yes,b-type_natriuretic_peptide_(bnp),51921,"proBNP, Pleural",Pleural,Chemistry
Yes,blood_urea_nitrogen_(bun),51922,"Urea Nitrogen, Pleural",Pleural,Chemistry
No,Not Import,51923,"Uric Acid, Pleural",Pleural,Chemistry
No,Not Import,51924,Voided Specimen,Pleural,Chemistry
No,Not Import,51925,72 Hr Fat,Stool,Chemistry
Yes,albumin,51926,(Albumin),Stool,Chemistry
Yes,albumin,51927,"Albumin, Stool",Stool,Chemistry
No,Not Import,51928,Alpha-1,Stool,Chemistry
No,Not Import,51929,Alpha-2,Stool,Chemistry
Yes,amylase,51930,"Amylase, Stool",Stool,Chemistry
No,Not Import,51931,Beta,Stool,Chemistry
Yes,bilirubin_total,51932,"Bilirubin, Total, Stool",Stool,Chemistry
Yes,c_diff,51933,C. diff PCR,Stool,Chemistry
Yes,c_diff,51934,C Diff Toxin Antigen Assay,Stool,Chemistry
No,Not Import,51935,"Cholesterol, Stool",Stool,Chemistry
Yes,c_diff,51936,Clostrid,Stool,Chemistry
Yes,creatinine,51937,"Creatinine, Stool",Stool,Chemistry
No,Not Import,51938,Cryptococ,Stool,Chemistry
No,Not Import,51939,Fl Scan,Stool,Chemistry
No,Not Import,51940,Gamma,Stool,Chemistry
Yes,glucose,51941,"Glucose, Stool",Stool,Chemistry
No,Not Import,51942,"IgG, Stool",Stool,Chemistry
No,Not Import,51943,"Immunoelectrophoresis, Stool",Stool,Chemistry
Yes,lactate_dehydrogenase,51944,"Lactate Dehydrogenase, Stool",Stool,Chemistry
No,Not Import,51945,Norovirus Genogroup I,Stool,Chemistry
No,Not Import,51946,Norovirus Genogroup II,Stool,Chemistry
No,Not Import,51947,O & P,Stool,Chemistry
No,Not Import,51948,Sudan Stain,Stool,Chemistry
Yes,protein,51949,"Total Protein, Stool",Stool,Chemistry
No,Not Import,51950,"Triglycerides, Stool",Stool,Chemistry
Yes,blood_urea_nitrogen_(bun),51951,"Urea Nitrogen, Stool",Stool,Chemistry
No,Not Import,51952,"Uric Acid, Stool",Stool,Chemistry
No,Not Import,51953,Voided Specimen,Stool,Chemistry
No,Not Import,51955,,Stool,Chemistry
No,Not Import,51956,CDT027,Stool,Chemistry
No,Not Import,51957,17-Hydroxycorticosteroids,Urine,Chemistry
No,Not Import,51958,"17-Ketosteroids, Urine",Urine,Chemistry
No,Not Import,51959,"5-HIAA, Urine",Urine,Chemistry
No,Not Import,51960,Aldolase,Urine,Chemistry
No,Not Import,51961,Alpha-1,Urine,Chemistry
No,Not Import,51962,Alpha-2,Urine,Chemistry
No,Not Import,51963,Amylase/Creatinine Clearance,Urine,Chemistry
Yes,amylase,51964,"Amylase, Serum",Urine,Chemistry
No,Not Import,51965,Beta,Urine,Chemistry
Yes,bilirubin_total,51966,Bilirubin,Urine,Chemistry
No,Not Import,51967,Blood,Urine,Chemistry
No,Not Import,51968,Camp,Urine,Chemistry
No,Not Import,51969,"Catecholamines, Urine",Urine,Chemistry
No,Not Import,51970,Cben,Urine,Chemistry
No,Not Import,51971,Ccoc,Urine,Chemistry
No,Not Import,51972,Chlamydia trachomatis,Urine,Chemistry
No,Not Import,51973,Copi,Urine,Chemistry
No,Not Import,51974,"Copper, Urine",Urine,Chemistry
No,Not Import,51975,Coproporphyrins,Urine,Chemistry
No,Not Import,51976,"Cortisol, Urine",Urine,Chemistry
Yes,creatinine,51977,"Creatinine, Blood",Urine,Chemistry
No,Not Import,51978,DirList,Urine,Chemistry
No,Not Import,51979,"Estriol, Urine",Urine,Chemistry
No,Not Import,51980,Fentanyl,Urine,Chemistry
Yes,glucose,51981,Glucose,Urine,Chemistry
No,Not Import,51982,"Immunoelectrophoresis, Urine",Urine,Chemistry
No,Not Import,51983,"Iron, Urine",Urine,Chemistry
No,Not Import,51984,Ketone,Urine,Chemistry
No,Not Import,51985,Leukocytes,Urine,Chemistry
No,Not Import,51986,Neisseria gonorrhoeae,Urine,Chemistry
No,Not Import,51987,Nitrite,Urine,Chemistry
No,Not Import,51988,O & P,Urine,Chemistry
No,Not Import,51989,Oxycodone,Urine,Chemistry
No,Not Import,51990,"Phenothiazine Screen, Urine",Urine,Chemistry
No,Not Import,51991,"Propoxyphene, Urine",Urine,Chemistry
Yes,protein,51992,Protein,Urine,Chemistry
No,Not Import,51993,Referred,Urine,Chemistry
No,Not Import,51994,Specific Gravity,Urine,Chemistry
No,Not Import,51995,Study Urine,Urine,Chemistry
No,Not Import,51996,Trichomonas vaginalis,Urine,Chemistry
No,Not Import,51997,UIFEgel,Urine,Chemistry
No,Not Import,51998,UPEPgel,Urine,Chemistry
Yes,amylase,51999,Urine Amylase,Urine,Chemistry
Yes,creatinine,52000,Urine  Creatinine,Urine,Chemistry
No,Not Import,52001,"Urine PEP, Gamma region",Urine,Chemistry
No,Not Import,52002,Urobilinogen,Urine,Chemistry
No,Not Import,52003,Uroporphyrins,Urine,Chemistry
No,Not Import,52004,UTX1,Urine,Chemistry
No,Not Import,52005,UTX2,Urine,Chemistry
No,Not Import,52006,UTX3,Urine,Chemistry
No,Not Import,52007,UTX4,Urine,Chemistry
No,Not Import,52008,UTX5,Urine,Chemistry
No,Not Import,52009,UTX6,Urine,Chemistry
No,Not Import,52010,UTX7,Urine,Chemistry
No,Not Import,52011,UTX8,Urine,Chemistry
No,Not Import,52012,UTX9,Urine,Chemistry
No,Not Import,52013,Vanillylmandelic Acid,Urine,Chemistry
No,Not Import,52014,Voided Specimen,Urine,Chemistry
No,Not Import,52015,Xylose,Urine,Chemistry
No,Not Import,52016,Z,Urine,Chemistry
No,Not Import,52017,"Zinc, Urine",Urine,Chemistry
No,Not Import,52018,PAN1,Urine,Chemistry
No,Not Import,52019,PAN2,Urine,Chemistry
No,Not Import,52020,UTX10,Urine,Chemistry
No,Not Import,52021,Abz,Blood,Blood Gas
Yes,albumin,52022,"Albumin, Blood",Blood,Blood Gas
No,Not Import,52023,Assist/Control,Blood,Blood Gas
Yes,creatinine,52024,"Creatinine, Whole Blood",Blood,Blood Gas
No,Not Import,52025,Delete,Blood,Blood Gas
Yes,gfr,52026,Estimated GFR (MDRD equation),Blood,Blood Gas
Yes,glucose,52027,"Glucose, Whole Blood",Blood,Blood Gas
Yes,hematocrit,52028,Hematocrit,Blood,Blood Gas
Yes,calcium_ionized,52029,% Ionized Calcium,Blood,Blood Gas
No,Not Import,52030,Lithium,Blood,Blood Gas
Yes,osmolarity,52031,Osmolality,Blood,Blood Gas
No,Not Import,52032,P50 of Hemoglobin,Blood,Blood Gas
No,Not Import,52033,Specimen Type,Blood,Blood Gas
Yes,calcium,52034,Total Calcium,Blood,Blood Gas
Yes,calcium,52035,Total Calcium,Blood,Blood Gas
No,Not Import,52036,Voided Specimen,Blood,Blood Gas
No,Not Import,52037,WB tCO2,Blood,Blood Gas
Yes,base_excess,52038,Base Excess,Fluid,Blood Gas
Yes,bicarb_(hco3),52039,Calculated Bicarbonate,Fluid,Blood Gas
Yes,partial_pressure_of_carbon_dioxide_(paco2),52040,pCO2,Fluid,Blood Gas
Yes,ph,52041,pH,Fluid,Blood Gas
Yes,partial_pressure_of_oxygen_(pao2),52042,pO2,Fluid,Blood Gas
No,Not Import,52043,Voided Specimen,Other Body Fluid,Blood Gas
Yes,osmolarity,52044,"Osmolality, Urine",Urine,Blood Gas
Yes,ph,52045,"pH, Urine",Urine,Blood Gas
Yes,potassium,52046,"Potassium, Urine",Urine,Blood Gas
Yes,sodium,52047,"Sodium, Urine",Urine,Blood Gas
No,Not Import,52048,Atyps#,Ascites,Hematology
No,Not Import,52049,Bands#,Ascites,Hematology
No,Not Import,52050,Basos#,Ascites,Hematology
No,Not Import,52051,Blasts#,Ascites,Hematology
No,Not Import,52052,Eos#,Ascites,Hematology
No,Not Import,52053,Histio#,Ascites,Hematology
No,Not Import,52054,Histiocyte,Ascites,Hematology
No,Not Import,52055,Hyperseg,Ascites,Hematology
No,Not Import,52056,Hyperseg#,Ascites,Hematology
Yes,lymphocyte,52057,Lymphs#,Ascites,Hematology
No,Not Import,52058,Metas#,Ascites,Hematology
No,Not Import,52059,Monos#,Ascites,Hematology
No,Not Import,52060,Myelos#,Ascites,Hematology
No,Not Import,52061,Nuc Rbcs#,Ascites,Hematology
No,Not Import,52062,Plasma#,Ascites,Hematology
No,Not Import,52063,Polys#,Ascites,Hematology
No,Not Import,52064,Promyelo#,Ascites,Hematology
No,Not Import,52065,"Total Nucleated Cells, Ascites",Ascites,Hematology
No,Not Import,52066,Voided Specimen,Ascites,Hematology
No,Not Import,52067,Young#,Ascites,Hematology
No,Not Import,52068,24 Hr,Blood,Hematology
No,Not Import,52069,Absolute Basophil Count,Blood,Hematology
No,Not Import,52070,Absolute CD19 Count,Blood,Hematology
No,Not Import,52071,Absolute CD20 Count,Blood,Hematology
No,Not Import,52072,Absolute CD56 Count,Blood,Hematology
No,Not Import,52073,Absolute Eosinophil Count,Blood,Hematology
No,Not Import,52074,Absolute Monocyte Count,Blood,Hematology
Yes,neutrophils,52075,Absolute Neutrophil Count,Blood,Hematology
No,Not Import,52076,Acid Phosphatase Stain,Blood,Hematology
No,Not Import,52077,Acidserum,Blood,Hematology
No,Not Import,52078,Antithrombin III,Blood,Hematology
No,Not Import,52079,ASA Tol,Blood,Hematology
No,Not Import,52080,Asd,Blood,Hematology
No,Not Import,52081,ASD & NA-F,Blood,Hematology
No,Not Import,52082,Aspirin Reactivity,Blood,Hematology
No,Not Import,52083,Autohem+g,Blood,Hematology
No,Not Import,52084,Autohem-g,Blood,Hematology
No,Not Import,52085,Bleed Tm,Blood,Hematology
No,Not Import,52086,Bleed Tm,Blood,Hematology
No,Not Import,52087,CD15/56,Blood,Hematology
No,Not Import,52088,CD 1a,Blood,Hematology
No,Not Import,52089,CD30,Blood,Hematology
No,Not Import,52090,CD42,Blood,Hematology
No,Not Import,52091,CD52,Blood,Hematology
No,Not Import,52092,CD56 %,Blood,Hematology
No,Not Import,52093,CD56 Absolute Count,Blood,Hematology
No,Not Import,52094,CD61,Blood,Hematology
No,Not Import,52095,CD62,Blood,Hematology
No,Not Import,52096,Chloroacetate,Blood,Hematology
No,Not Import,52097,Circ Ab,Blood,Hematology
No,Not Import,52098,Clot Lysis,Blood,Hematology
No,Not Import,52099,Clot Retraction,Blood,Hematology
No,Not Import,52100,Clot Time,Blood,Hematology
No,Not Import,52101,Cr,Blood,Hematology
No,Not Import,52102,Crenated Cells,Blood,Hematology
No,Not Import,52103,Cross Imm,Blood,Hematology
No,Not Import,52104,Cryoglob,Blood,Hematology
No,Not Import,52105,Direct Antiplatelet Antibodies,Blood,Hematology
No,Not Import,52106,Donath-l,Blood,Hematology
No,Not Import,52107,dRVVT - Confirmation,Blood,Hematology
No,Not Import,52108,dRVVT - Normalized Ratio,Blood,Hematology
No,Not Import,52109,dRVVT - Screen,Blood,Hematology
No,Not Import,52110,DSmear,Blood,Hematology
No,Not Import,52111,Echinocytes,Blood,Hematology
No,Not Import,52112,Euglobulin Lysis,Blood,Hematology
No,Not Import,52113,Factor IX Inhibitor,Blood,Hematology
No,Not Import,52114,Factor VIII Antigen,Blood,Hematology
No,Not Import,52115,Fibrinoge,Blood,Hematology
Yes,fibrinogen,52116,Fibrinogen,Blood,Hematology
Yes,fibrinogen,52117,"Fibrinogen, Immunologic",Blood,Hematology
No,Not Import,52119,Fitzgerld,Blood,Hematology
No,Not Import,52120,Fitzgerld,Blood,Hematology
No,Not Import,52121,Fletcher,Blood,Hematology
No,Not Import,52122,Fsp,Blood,Hematology
No,Not Import,52123,"G6PD, Qualitative",Blood,Hematology
No,Not Import,52124,G6pd Spec,Blood,Hematology
No,Not Import,52125,Glutathione,Blood,Hematology
No,Not Import,52126,Heinz Aph,Blood,Hematology
No,Not Import,52127,Helmet Cells,Blood,Hematology
No,Not Import,52128,Hemoglobin H Inclusion,Blood,Hematology
No,Not Import,52129,Hemoglobin Other,Blood,Hematology
No,Not Import,52130,Histiocytes,Blood,Hematology
No,Not Import,52131,HIT-Ab Interpreted Result,Blood,Hematology
No,Not Import,52132,HIT-Ab Numerical Result,Blood,Hematology
No,Not Import,52133,Hmwk,Blood,Hematology
No,Not Import,52134,IG,Blood,Hematology
No,Not Import,52135,Immature Granulocytes,Blood,Hematology
No,Not Import,52136,Inhibitor,Blood,Hematology
No,Not Import,52137,Inh Scr,Blood,Hematology
No,Not Import,52138,Kct,Blood,Hematology
No,Not Import,52139,LE Prep,Blood,Hematology
No,Not Import,52140,LS,Blood,Hematology
No,Not Import,52141,Malaria Smear,Blood,Hematology
Yes,platelets,52142,Mean Platelet Volume,Blood,Hematology
No,Not Import,52143,Methemalb,Blood,Hematology
Yes,met_hgb,52144,Methemoglobin,Blood,Hematology
No,Not Import,52145,Mono Spot Test,Blood,Hematology
No,Not Import,52146,Naphtol Acetate Stain,Blood,Hematology
No,Not Import,52147,NEUTX,Blood,Hematology
No,Not Import,52148,NEUTY,Blood,Hematology
No,Not Import,52149,NFletcher,Blood,Hematology
No,Not Import,52150,Non-Specific Esterase,Blood,Hematology
No,Not Import,52151,NRBC,Blood,Hematology
No,Not Import,52152,"Osmotic Fragility, Incubated",Blood,Hematology
No,Not Import,52153,Other Inhibitor,Blood,Hematology
No,Not Import,52154,P2Y12 Reaction Units,Blood,Hematology
No,Not Import,52155,Periodic Acid Schiff Stain,Blood,Hematology
No,Not Import,52156,Peroxidase Staining,Blood,Hematology
Yes,hemoglobin,52157,Plasma Hemoglobin,Blood,Hematology
No,Not Import,52158,Plasminogen,Blood,Hematology
No,Not Import,52159,Platelet Aggregation,Blood,Hematology
No,Not Import,52160,Prekallekrein,Blood,Hematology
No,Not Import,52161,Problem Specimen,Blood,Hematology
No,Not Import,52162,Protein S,Blood,Hematology
No,Not Import,52163,PT Control,Blood,Hematology
No,Not Import,52164,PT Mean,Blood,Hematology
No,Not Import,52165,PTT Control,Blood,Hematology
No,Not Import,52166,PTT-LA,Blood,Hematology
Yes,partial_prothrombin_time_(ptt),52167,PTT mea,Blood,Hematology
No,Not Import,52168,Pyruvate Kinase,Blood,Hematology
No,Not Import,52169,QFib,Blood,Hematology
No,Not Import,52170, Rbc,Blood,Hematology
No,Not Import,52171,RBC Morphology,Blood,Hematology
No,Not Import,52172,RDW-SD,Blood,Hematology
No,Not Import,52173,Red Blood Cell Enzyme,Blood,Hematology
No,Not Import,52174,"Reptilase Time, Control",Blood,Hematology
No,Not Import,52175,Ristocetin Response,Blood,Hematology
No,Not Import,52176,Rouleaux,Blood,Hematology
No,Not Import,52177,SCT - Confirmation,Blood,Hematology
No,Not Import,52178,SCT - Normalized Ratio,Blood,Hematology
No,Not Import,52179,SCT - Screen,Blood,Hematology
No,Not Import,52180,STA-CLOT,Blood,Hematology
No,Not Import,52181,Stomatocyte,Blood,Hematology
No,Not Import,52182,Sudan Black Staining,Blood,Hematology
No,Not Import,52183,Sulf Hgb,Blood,Hematology
No,Not Import,52184,TCR Alpha-Beta,Blood,Hematology
No,Not Import,52185,TCR Gamma-Delta,Blood,Hematology
No,Not Import,52186,Test,Blood,Hematology
Yes,thrombin_time,52187,Thrombin Time,Blood,Hematology
No,Not Import,52188,Thrombin Time Control,Blood,Hematology
No,Not Import,52189,Thrombin Time Control,Blood,Hematology
No,Not Import,52190,Tissue Thromboplastin Inhibitor,Blood,Hematology
No,Not Import,52191,Tr- Acid,Blood,Hematology
No,Not Import,52192,Trap Stain,Blood,Hematology
No,Not Import,52193,Viii Ag,Blood,Hematology
No,Not Import,52194,VIII-CIE,Blood,Hematology
No,Not Import,52195,Voided Specimen,Blood,Hematology
No,Not Import,52196,WAM Manual Diff,Blood,Hematology
No,Not Import,52197,WAM MANUAL DIFF 2,Blood,Hematology
No,Not Import,52198,ErytFlg,Blood,Hematology
No,Not Import,52199,FragFlg,Blood,Hematology
No,Not Import,52200,PltDist,Blood,Hematology
No,Not Import,52201,PltScat,Blood,Hematology
No,Not Import,52202,PltClmp,Blood,Hematology
No,Not Import,52203,RBCAgg,Blood,Hematology
No,Not Import,52204,RBCDist,Blood,Hematology
No,Not Import,52205,RetScat,Blood,Hematology
No,Not Import,52206,RetFlg,Blood,Hematology
No,Not Import,52207,TurbHbI,Blood,Hematology
No,Not Import,52208,BasoFlg,Blood,Hematology
No,Not Import,52209,EosFlg,Blood,Hematology
No,Not Import,52210,LeftShf,Blood,Hematology
No,Not Import,52211,LymFlg,Blood,Hematology
No,Not Import,52212,MonoFlg,Blood,Hematology
No,Not Import,52213,NRBCFlg,Blood,Hematology
No,Not Import,52214,AbnLymp,Blood,Hematology
No,Not Import,52215,ATLFlg,Blood,Hematology
No,Not Import,52216,BlasFlg,Blood,Hematology
No,Not Import,52217,Bl/AbLy,Blood,Hematology
No,Not Import,52218,IG Flg,Blood,Hematology
No,Not Import,52219,WBCScat,Blood,Hematology
No,Not Import,52220,wbcp,Blood,Hematology
No,Not Import,52221,Atypical Lymphocytes,Cerebrospinal Fluid,Hematology
No,Not Import,52222,Atyps#,Cerebrospinal Fluid,Hematology
No,Not Import,52223,Bands,Cerebrospinal Fluid,Hematology
No,Not Import,52224,Bands#,Cerebrospinal Fluid,Hematology
No,Not Import,52225,Basophils,Cerebrospinal Fluid,Hematology
No,Not Import,52226,Basos#,Cerebrospinal Fluid,Hematology
No,Not Import,52227,Blasts,Cerebrospinal Fluid,Hematology
No,Not Import,52228,Blasts#,Cerebrospinal Fluid,Hematology
No,Not Import,52229,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52230,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52231,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52232,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52233,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52234,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52235,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52236,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52237,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52238,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52239,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52240,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52241,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52242,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52243,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52244,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52245,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52246,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52247,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52248,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52249,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52250,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52251,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52252,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52253,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52254,Delete,Cerebrospinal Fluid,Hematology
No,Not Import,52255,Eos#,Cerebrospinal Fluid,Hematology
No,Not Import,52256,Eosinophils,Cerebrospinal Fluid,Hematology
Yes,hematocrit,52257,"Hematocrit, CSF",Cerebrospinal Fluid,Hematology
No,Not Import,52258,Histiocyte,Cerebrospinal Fluid,Hematology
No,Not Import,52260,Hypersegmented Neutrophils,Cerebrospinal Fluid,Hematology
No,Not Import,52261,Hypersegmented Neutrophils #,Cerebrospinal Fluid,Hematology
No,Not Import,52262,Immunophenotyping,Cerebrospinal Fluid,Hematology
No,Not Import,52263,Lining Cell,Cerebrospinal Fluid,Hematology
Yes,lymphocyte,52264,Lymphs,Cerebrospinal Fluid,Hematology
Yes,lymphocyte,52265,Lymphs#,Cerebrospinal Fluid,Hematology
No,Not Import,52266,Macrophage,Cerebrospinal Fluid,Hematology
No,Not Import,52267,Macrophage#,Cerebrospinal Fluid,Hematology
No,Not Import,52268,Mesothelial cells,Cerebrospinal Fluid,Hematology
No,Not Import,52269,Mesothelial cells #,Cerebrospinal Fluid,Hematology
No,Not Import,52270,Metamyelocytes,Cerebrospinal Fluid,Hematology
No,Not Import,52271,Metas#,Cerebrospinal Fluid,Hematology
No,Not Import,52272,Monocytes,Cerebrospinal Fluid,Hematology
No,Not Import,52273,Monos#,Cerebrospinal Fluid,Hematology
No,Not Import,52274,Myelocytes,Cerebrospinal Fluid,Hematology
No,Not Import,52276,NRBC,Cerebrospinal Fluid,Hematology
No,Not Import,52277,NRBC#,Cerebrospinal Fluid,Hematology
No,Not Import,52278,Other,Cerebrospinal Fluid,Hematology
No,Not Import,52279,Plasma,Cerebrospinal Fluid,Hematology
No,Not Import,52280,Plasma#,Cerebrospinal Fluid,Hematology
No,Not Import,52281,Polys,Cerebrospinal Fluid,Hematology
No,Not Import,52282,Polys#,Cerebrospinal Fluid,Hematology
