Unnamed: 0,formulary_name,med_name_generic,med_action_dose_unit,volume_given,count,volume_unit,volume_numeric,
566,Desmopressin 4 mcg/mL SubQ syringe,desmopressin in syringe,Not Recorded,none,15,,,
567,Desmopressin 4 mcg/mL inj,desmopressin,Not Recorded,none,4858,,,
568,Desmopressin 4 mcg/mL inj.,desmopressin,Not Recorded,none,396,,,
569,Dexamethasone 0.2mg/mL neonate syringe,Dexamethasone in syringe,Not Recorded,none,5,,,
570,Dexamethasone 0.5 mg tab,dexamethasone,Not Recorded,none,1,,,
571,Dexamethasone 10mg/NS IVPB,dexamethasone/ns,Not Recorded,none,11,,,
572,Dexamethasone 12mg/NS IVPB,dexamethasone/ns,Not Recorded,none,23,,,
573,Dexamethasone 2 mg tab,dexamethasone,Not Recorded,none,2,,,
574,Dexamethasone 20 mg/5 mL inj,dexamethasone,Not Recorded,5 mL,16655,mL,5,
575,Dexamethasone 20mg/NS IVPB,dexamethasone/ns,Not Recorded,none,69,,,
576,Dexamethasone 4 mg tab,dexamethasone,Not Recorded,none,24,,,
577,Dexamethasone 4 mg/1 mL inj,dexamethasone,Not Recorded,1 mL,314008,mL,1,
578,Dexamethasone 6  mg tab,dexamethasone,Not Recorded,none,4,,,
579,Dexamethasone 8 mg/NS IVPB,dexamethasone/ns,Not Recorded,none,14,,,
580,Dexamethson 10 mg/mL  10 mL inj,dexamethasone,Not Recorded,10 mL,177,mL,10,
581,Dexmedetomidine 200 mcg/2 mL inj,dexmedetomidine,Microgram/Kilogram/Hour,2 mL,101592,mL,2,
582,Dexmedetomidine 4 mcg/mL 20mL vial (for OR),dexmedetomidine,Not Recorded,20 mL,840,mL,20,
583,Dexrazoxane 250 mg inj cardio tox,dexrazoxane,Not Recorded,none,16,,,
584,Dextran 40/ 500 mL IV bag,dextran 40,Not Recorded,500 mL,257,mL,500,
585,Dextran 40/ 500 mL IV bag,dextran 40/ns,Not Recorded,500 mL,173,mL,500,
586,Dextran 40/D5W 500 mL IV bag,dextran 40/d5w,Not Recorded,500 mL,496,mL,500,
587,Dextran-Dextrose 32% inj 100 mL inj,dextran-dextrose 32%,Not Recorded,100 mL,18,mL,100,
588,Dextrose 10% 5 mL inj,dextrose 10%,Not Recorded,5 mL,13,mL,5,
589,Dextrose 10% in Water 250mL,D10W,Not Recorded,250 mL,191,mL,250,
590,Dextrose 10% in Water 250mL btl.,D10W,Not Recorded,250 mL,892,mL,250,
591,Dextrose 30% in Water 500mL,dextrose 30% water,Not Recorded,500 mL,1,mL,500,
592,Dextrose 50% 50 mL syringe,dextrose 50%,Not Recorded,50 mL,62572,mL,50,
593,Dextrose 50% 50 mL vial,dextrose 50%,Not Recorded,50 mL,8170,mL,50,
594,Diazepam 10 mg/2 mL inj,diazepam,Not Recorded,2 mL,13498,mL,2,
595,Diazepam 2 mg tab,diazepam,Not Recorded,none,1,,,
596,Diazepam 5 mg tab,diazepam,Not Recorded,none,9,,,
597,Dicyclomine 20 mg/2 mL inj,dicyclomine,Not Recorded,2 mL,4,mL,2,
598,Digoxin 0.05 mg/mL Elixir  60 mL,digoxin,Not Recorded,60 mL,1,mL,60,
599,Digoxin 0.5 mg/2 mL inj,digoxin,Not Recorded,2 mL,10268,mL,2,
600,Digoxin Immune Fab 40mg (Digifab),digoxin immune fab,Not Recorded,none,49,,,
601,Dihydroergotamine 1 mg/1 mL inj,dihydroergotamine,Not Recorded,1 mL,1950,mL,1,
602,Diltiazem 100 mg ADD-Vantage,diltiazem,Milligram/Hour,none,31,,,
603,Diltiazem 125 mg vial,diltiazem,Milligram/Hour,none,40246,,,
604,Diltiazem 25 mg/5 mL inj,diltiazem,Not Recorded,5 mL,13081,mL,5,
605,Diltiazem 50 mg/10 mL inj,diltiazem,Not Recorded,10 mL,50,mL,10,
606,DiphenhydrAMI 2.5 mg/mL liq 240 mL,diphenhydrAMINE,Not Recorded,240 mL,4,mL,240,
607,DiphenhydrAMINE 12.5mg/5mL Liq,diphenhydrAMINE liq,Not Recorded,5 mL,1,mL,5,
608,DiphenhydrAMINE 25 mg cap,diphenhydrAMINE,Not Recorded,none,66,,,
609,DiphenhydrAMINE 25 mg/10 mL liq,diphenhydrAMINE,Not Recorded,10 mL,10,mL,10,
610,DiphenhydrAMINE 25mg/NS IVPB,diphenhydrAMINE/ns,Not Recorded,none,40,,,
611,DiphenhydrAMINE 50 mg cap,diphenhydrAMINE,Not Recorded,none,21,,,
612,DiphenhydrAMINE 50 mg/1 mL inj,diphenhydrAMINE,Not Recorded,1 mL,284906,mL,1,
613,DiphenhydrAMINE 50mg/NS IVPB,diphenhydrAMINE/ns,Not Recorded,none,202,,,
614,Disposable elastomeric pump,disposable elastomeric pump,Not Recorded,none,1,,,
615,Docusate Sodium 100 mg cap,docusate,Not Recorded,none,1,,,
616,Dofetilide 250 mcg cap,dofetilide,Not Recorded,none,1,,,
617,Doripenem 250 mg inj,doripenem,Not Recorded,none,62,,,
618,Doripenem 500 mg inj,doripenem,Not Recorded,none,8405,,,
619,Doxorubicin 2  mg/ 1 mL inj,doxorubicin,Not Recorded,1 mL,26,mL,1,
620,Doxorubicin PFS 10mg/5mL inj,doxorubicin,Not Recorded,5 mL,38,mL,5,
621,Doxycycline 100 mg cap,doxycycline,Not Recorded,none,3,,,
622,Doxycycline 100 mg inj,doxycycline,Not Recorded,none,6078,,,
623,Doxycycline 100mg IVPB,doxycycline in ns,Not Recorded,none,13361,,,
624,Doxycycline 1mg/mL NS peds syringe,doxycycline/ns syringe,Not Recorded,none,2,,,
625,Doxycycline 50mg cap,doxycycline,Not Recorded,none,1,,,
626,Doxycycline hyclate 100 mg tab,doxycycline,Not Recorded,none,7,,,
627,Droperidol 0.625mg/2mL ns for OR,droperidol,Not Recorded,2 mL,88,mL,2,
628,Droperidol 2.5mg/mL inj,droperidol,Not Recorded,none,131,,,
629,ED-Calcium Gluconate 2gm IVPB for ED use only,calcium gluconate/ns,Not Recorded,none,49,,,
630,EPHEDrine 25mg/5ml (5mg/mL) syringe,ePHEDrine,Not Recorded,5 mL,8,mL,5,
631,EPHEDrine 50 mg/1 mL inj,ePHEDrine,Not Recorded,1 mL,25779,mL,1,
632,EPHEDrine 50 mg/10mL inj,ePHEDrine,Not Recorded,10 mL,16,mL,10,
633,EPHEDrine 5mg/mL OR syringe,ePHEDrine,Not Recorded,none,152790,,,
634,EPInephrine 0.3mg Auto-injector,EPInephrine hcl,Not Recorded,none,4,,,
635,EPInephrine 1 mg/ 1 mL inj,EPInephrine,Microgram/Kilogram/Minute,1 mL,36048,mL,1,
636,EPInephrine 1 mg/10 mL inj,EPInephrine,Not Recorded,10 mL,2843,mL,10,
637,EPInephrine 160mcg Syr OR,EPInephrine,Not Recorded,none,1245,,,
638,EPInephrine 1mg/ml 30 mL inj,EPInephrine,Not Recorded,30 mL,160479,mL,30,
639,EPIrubicin 2 mg / 1 mL inj,EPIrubicin,Not Recorded,1 mL,1,mL,1,
640,Eculizumab 300 mg/30mL inj.,eculizumab,Not Recorded,30 mL,65,mL,30,
641,Edrophonium 10 mg/mL 15 mL inj,edrophonium,Not Recorded,15 mL,1,mL,15,
642,Edrophonium 10 mg/mL per mL,edrophonium,Not Recorded,none,8,,,
643,Empty Container,Empty Container,Not Recorded,none,40939,,,
644,Empty Container Non-DEHP,Empty Container Non-DEHP,Not Recorded,none,4,,,
645,Enalaprilat 1.25 mg/1 mL inj,enalapril,Not Recorded,1 mL,446,mL,1,
646,Enalaprilat 2.5 mg/2 mL inj,enalaprilat,Not Recorded,2 mL,3341,mL,2,
647,Enoxaparin 100 mg/ 1 mL inj,enoxaparin,Not Recorded,1 mL,270,mL,1,
648,Enoxaparin 120 mg/ 0.8 mL  inj,enoxaparin,Not Recorded,0.8 mL,2,mL,0.8,
649,Enoxaparin 20 mg/ 0.2 mL syringe,enoxaparin syringe,Not Recorded,0.2 mL,3,mL,0.2,
650,Enoxaparin 30 mg/0.3 mL inj,enoxaparin,Not Recorded,0.3 mL,163,mL,0.3,
651,Enoxaparin 40 mg/ 0.4 mL inj,enoxaparin,Not Recorded,0.4 mL,4,mL,0.4,
652,Enoxaparin 60 mg/ 0.6 mL inj,enoxaparin,Not Recorded,0.6 mL,2,mL,0.6,
653,Epidural Infusion,Epidural Infusion,Not Recorded,none,2,,,
654,"Epoetin 10,000 units/ 1 mL inj",epoetin,Not Recorded,1 mL,4614,mL,1,
655,"Epoetin 2,000 units/ 1 mL inj",epoetin alfa,Not Recorded,1 mL,139,mL,1,
656,"Epoetin 20,000 units inj",epoetin,Not Recorded,none,1277,,,
657,"Epoetin 40,000 units/ 1 mL",epoetin,Not Recorded,1 mL,71,mL,1,
658,Epoetin 4000 units/1 mL inj,epoetin alfa,Not Recorded,1 mL,257,mL,1,
659,"Epoetin alfa-epbx (Retacrit) 10,000 units/1 mL inj",epoetin alfa-epbx,Not Recorded,1 mL,1302,mL,1,
660,"Epoetin alfa-epbx (Retacrit) 2,000 units/1 mL inj",epoetin alfa-epbx,Not Recorded,1 mL,73,mL,1,
661,"Epoetin alfa-epbx (Retacrit) 20,000 units/1 mL inj",epoetin alfa-epbx,Not Recorded,1 mL,406,mL,1,
662,"Epoetin alfa-epbx (Retacrit) 40,000 units/1 mL inj",epoetin alfa-epbx,Not Recorded,1 mL,62,mL,1,
663,Epoprostenol  Diluent 50mL for ICU Drip,epoprostenol diluent,Not Recorded,50 mL,51,mL,50,
664,Epoprostenol  Diluent 50mL for ICU Drip,epoprostenol/Flolan diluent,Not Recorded,50 mL,4417,mL,50,
665,Epoprostenol  Diluent 50mL vial,epoprostenol diluent,Not Recorded,50 mL,13,mL,50,
666,Epoprostenol  Diluent 50mL vial,epoprostenol/Flolan diluent,Not Recorded,50 mL,924,mL,50,
667,Epoprostenol 0.5 mg inj,epoprostenol,Not Recorded,none,18956,,,
668,"Epoprostenol 1,000,000 ng (1mg) inhale (Veletri)",epoprostenol inhale,Not Recorded,none,39,,,
669,Epoprostenol 1.5 mg inj.,epoprostenol,Not Recorded,none,2404,,,
670,"Epoprostenol 500,000 ng (0.5mg) inhale (Veletri)",epoprostenol inhale,Not Recorded,none,9,,,
671,Epoprostenol CADD Conc-Dose-Rate Confirm,Epoprostenol CADD Conc-Dose-Rate Confirm,Not Recorded,none,5,,,
672,Epoprostenol Cassette,Epoprostenol cassette,Not Recorded,none,18,,,
673,Epoprostenol Cassette,flolan casstte,Not Recorded,none,6,,,
674,Eptifibatide 2 mg/mL 10 mL bolus inj,eptifibatide,Not Recorded,10 mL,40,mL,10,
675,Eribulin 1mg/2mL inj,eribulin,Not Recorded,2 mL,2,mL,2,
676,Ertapenem 1000 mg inj,ertapenem,Not Recorded,none,24830,,,
677,Erythromycin 500 mg inj,erythromycin,Not Recorded,none,11899,,,
678,Esmolol 100 mg/10 mL inj,esmolol,Not Recorded,10 mL,854,mL,10,
679,Esmolol 10mg/mL OR syringe,esmolol,Not Recorded,none,2216,,,
680,Esmolol 2.5 gm/10 mL inj,esmolol,Not Recorded,10 mL,21,mL,10,
681,Estradiol 1 mg tab,estradiol,Not Recorded,none,1,,,
682,Estrogens 25 mg/5 mL inj.,"estrogens, conjugated",Not Recorded,5 mL,398,mL,5,
683,Ethacrynate 50 mg/50 mL inj,ethacrynate,Not Recorded,50 mL,249,mL,50,
684,Ethanol Lock soln 70% 3mL,ethanol 70% lock soln.,Not Recorded,3 mL,6,mL,3,
685,Ethiodized Oil (37% iodine) 10 mL inj,ethiodized oil (37% iodine),Not Recorded,10 mL,1,mL,10,
686,Ethiodized Oil 480mg/mL,ethiodized oil,Not Recorded,none,1,,,
687,Etomidate 10mg/5mL syringe,etomidate,Not Recorded,5 mL,7,mL,5,
688,Etomidate 2 mg/mL  20 mL inj,etomidate,Not Recorded,20 mL,1001,mL,20,
689,Etomidate 2 mg/mL inj 10mL,etomidate,Not Recorded,10 mL,5292,mL,10,
690,Etoposide 100 mg / 5 mL,etoposide,Not Recorded,5 mL,11606,mL,5,
691,Etoposide 500 mg/25 mL inj,etoposide,Not Recorded,25 mL,4403,mL,25,
692,Factor 7a (VIIa),coagulation factor 7a (VIIa),Not Recorded,none,952,,,
693,Factor 8 (VIII) bolus,Factor 8 (VIII) in syringe,Not Recorded,none,205,,,
694,Factor 8 (VIII) injection,Factor 8 (VIII) inj,Not Recorded,none,1272,,,
695,Factor 9 (IX) inj,factor 9 (IX),Not Recorded,none,197,,,
696,Factor 9 (IX) inj Bolus,factor 9 (IX) in syringe,Not Recorded,none,49,,,
697,"Factor VIII (Antihemophilic Factor, Recomb Porcine Seq) (Obizur)",factor 8 porcine,Not Recorded,none,42,,,
698,"Factor VIII (Antihemophilic Factor, Recomb Porcine Seq) (Obizur)",factor 8 porcine (Obizur),Not Recorded,none,1,,,
699,"Factor VIII (Antihemophilic Factor, Recomb Porcine) (Obizur)",factor 8 porcine,Not Recorded,none,24,,,
700,Factor7a (VIIa) 2000 mcg (OR CHARGE),coagulation factor VIIa,Not Recorded,none,3,,,
701,Famotidine 20 mg for Hyperal only,famotidine,Not Recorded,none,486069,,,
702,Famotidine 20 mg tab,fAMOTIDine,Not Recorded,none,42,,,
703,Famotidine 20 mg/2 mL inj,fAMOTIDine,Not Recorded,2 mL,322358,mL,2,
704,Famotidine 20mg/NS IV syringe,famotidine/ns in syringe,Not Recorded,none,12,,,
705,Famotidine 2mg/mL/NS neonate syringe,fAMOTIDine in NS syringe,Not Recorded,none,4,,,
706,Famotidine 40 mg tab,fAMOTIDine,Not Recorded,none,4,,,
707,Famotidine 40 mg/4 mL inj,fAMOTIDine,Not Recorded,4 mL,66,mL,4,
708,Fat Emulsion 20% 250 mL (Intralipid),fat emulsion 20%,Not Recorded,250 mL,15416,mL,250,
709,Fat Emulsion 20% 250 mL (Intralipid),fat emulsion 20% (Intralipid),Not Recorded,250 mL,5486,mL,250,
710,Fat Emulsion 20% 500mL,fat emulsion 20%,Not Recorded,500 mL,3,mL,500,
711,Fat Emulsion 20% NEONATE syringe,fat emulsion 20% in syr (Intralipid),Not Recorded,none,5,,,
712,Fat Emulsion 20% NEONATE syringe,fat emulsion 20% in syringe,Not Recorded,none,66,,,
713,"Fat emulsion, 20% 100mL (Neonate)",fat emulsion 20% (Intralipid),Not Recorded,100 mL,138,mL,100,
714,"Fat emulsion, 20% 100mL (Neonate)","fat emulsion 20%, intravenous",Not Recorded,100 mL,436,mL,100,
715,"Fat emulsion, intravenous (fish oil) 20% 250mL (Smoflipid)",fat emulsion 20%(Smoflipid),Not Recorded,250 mL,5112,mL,250,
716,"Fat emulsion, intravenous (fish oil) 20% 250mL (Smoflipid)","fat emulsion, intravenous 20%",Not Recorded,250 mL,2174,mL,250,
717,"Fat emulsion, intravenous (fish oil) 20% 500mL (for TPN) (Smoflipid)",fat emulsion 20%(Smoflipid),Not Recorded,500 mL,359,mL,500,
718,"Fat emulsion, intravenous (fish oil) 20% 500mL (for TPN) (Smoflipid)","fat emulsion, intravenous 20%",Not Recorded,500 mL,49,mL,500,
719,"Fat emulsion,intravenous (fish oil) 20% 1000mL (for TPN) (Smoflipid)",fat emulsion 20%(Smoflipid),Not Recorded,1000 mL,1806,mL,1000,
720,FentaNYL 50 mcg/mL 10mL inj,fentaNYL,Not Recorded,10 mL,33,mL,10,
721,FentaNYL PCA/NCA 10mcg/mL 50mL syringe,fentaNYL pca/nca,Not Recorded,50 mL,1669,mL,50,
722,Fentanyl  2.5 mg / 50 mL Drip,fentanyl citrate,Not Recorded,50 mL,4,mL,50,
723,Fentanyl 100 mcg buccal tab,fentaNYL,Not Recorded,none,1,,,
724,Fentanyl 100 mcg/hr patch,fentanyl,Not Recorded,none,3,,,
725,Fentanyl 1000 mcg/20 mL inj,fentanyl,Not Recorded,20 mL,3731,mL,20,
726,Fentanyl 100mcg/2 mL inj,fentanyl,Not Recorded,2 mL,493768,mL,2,
727,Fentanyl 10mcg/ml 60mL Syringe,fentanyl syringe,Micrograms/Hour,60 mL,46654,mL,60,
728,Fentanyl 12 mcg/hr patch,fentanyl,Not Recorded,none,2,,,
729,Fentanyl 200 mcg lozenge,fentanyl,Not Recorded,none,2,,,
730,Fentanyl 25 mcg/hr patch,fentanyl,Not Recorded,none,4,,,
731,Fentanyl 250 mcg/5 mL inj,fentanyl,Not Recorded,5 mL,3700,mL,5,
732,Fentanyl 50 mcg/hr patch,fentanyl,Not Recorded,none,2,,,
733,Fentanyl 75 mcg/hr patch,fentanyl,Not Recorded,none,4,,,
734,Fentanyl Patch Removal,fentanyl patch removal,Not Recorded,none,2,,,
735,Ferrlecit 62.5 mg/5 mL inj,ferric gluconate sodium complex,Not Recorded,5 mL,31,mL,5,
736,Ferumoxytol 510mg/17mL inj,ferumoxytol,Not Recorded,17 mL,915,mL,17,
737,Fibrinogen concentrate (Human),fibrinogen,Not Recorded,none,8,,,
738,Filgrastim 480 mcg/0.8 mL syr,filgrastim,Not Recorded,0.8 mL,3,mL,0.8,
739,Fluconazole 100 mg tab,fluconazole,Not Recorded,none,1,,,
740,Fluconazole 100mg/50mL NS,fluconazole in ns,Not Recorded,50 mL,3441,mL,50,
741,Fluconazole 200 mg tab,fluconazole,Not Recorded,none,7,,,
742,Fluconazole 200 mg/5 mL liq 35 mL,fluconazole,Not Recorded,5 mL,78,mL,5,
743,Fluconazole 200mg/100mL NS premix,fluconazole in ns,Not Recorded,100 mL,17825,mL,100,
744,Fluconazole 400mg/200mL D5W ivpb,fluconazole,Not Recorded,200 mL,306,mL,200,
745,Fluconazole 400mg/200mL D5W ivpb,fluconazole in d5w,Not Recorded,200 mL,21,mL,200,
746,Fluconazole 400mg/200mL NS premix,fluconazole in ns,Not Recorded,200 mL,19250,mL,200,
747,Fluconzole 2mg/mL/NS neonate syringe,fluconazole in NS syringe,Not Recorded,none,65,,,
748,Fludarabine 50  mg inj,fludarabine,Not Recorded,none,4111,,,
749,Flumazenil 0.5 mg/5 mL inj,flumazenil,Not Recorded,5 mL,1368,mL,5,
750,Flumazenil 0.5 mg/5 mL syringe,flumazenil,Not Recorded,5 mL,7,mL,5,
751,Fluorescein 10% 5mL inj,fluorescein 10%,Not Recorded,5 mL,500,mL,5,
752,Fluorescein 1mg ophth strip,fluorescein,Not Recorded,none,2,,,
753,Fluorouracil 50 mg/mL inj,fluorouracil,Not Recorded,none,602,,,
754,Folic Acid 1mg/mL Ped oral syringe,folic acid ped liq,Not Recorded,none,1,,,
755,Folic Acid 50 mg/10 mL inj,folic acid,Not Recorded,10 mL,141441,mL,10,
756,Fomepizole 1500mg/1.5mL,fomepizole,Not Recorded,1.5 mL,131,mL,1.5,
757,Fosaprepitant 150 mg inj.,fosaprepitant,Not Recorded,none,2680,,,
758,Foscarnet 6 gm/250 mL IVPB (Central Line),foscarnet,Not Recorded,250 mL,3252,mL,250,
759,Fosphenytoin 100 mgpe/2 mL inj,fosphenytoin,Not Recorded,2 mL,20113,mL,2,
760,Fosphenytoin 10mgPE/mL/NS neonate syringe,fosphenytoin in NS syringe,Not Recorded,none,33,,,
761,Fosphenytoin 500 mgpe/10 mL inj,fosphenytoin,Not Recorded,10 mL,4159,mL,10,
762,Furosemide 100 mg/10 mL inj,fUROSEMide,Not Recorded,10 mL,236562,mL,10,
763,Furosemide 100 mg/10 mL inj ADD,fUROSEMide add,Grams/Hour,10 mL,257943,mL,10,
764,Furosemide 10mg/mL Ped oral syringe,fUROSEMide ped liq,Not Recorded,none,9,,,
765,Furosemide 20 mg tab,fUROSEMide,Not Recorded,none,3,,,
766,Furosemide 20 mg/2 mL inj,fUROSEMide,Not Recorded,2 mL,73166,mL,2,
767,Furosemide 2mg/mL/NS neonate syringe,furosemide in NS syringe,Not Recorded,none,171,,,
768,Furosemide 40 mg/4 mL inj,fUROSEMide,Not Recorded,4 mL,359402,mL,4,
769,Furosemide 40 mg/5 mL liq,fUROSEMide,Not Recorded,5 mL,4,mL,5,
770,Furosemide 80 mg tablet,fUROSEMide,Not Recorded,none,18,,,
771,Gabapentin 100 mg cap,gabapentin,Not Recorded,none,17,,,
772,Gabapentin 300 mg cap,gabapentin,Not Recorded,none,444,,,
773,Gabapentin 300 mg/6 mL liq (60 mL),gabapentin,Not Recorded,6 mL,1,mL,6,
774,Gabapentin 400 mg cap,gabapentin,Not Recorded,none,13,,,
775,Ganciclovir 500 mg inj,ganciclovir sodium,Not Recorded,none,12218,,,
776,Ganciclovir 5mg/mL/NS neonate syringe,ganciclovir in NS syringe,Not Recorded,none,33,,,
777,Gemcitabine 200 mg inj,gemcitabine,Not Recorded,none,56,,,
778,Gemcitabine 38 mg/mL inj,gemcitabine,Not Recorded,none,263,,,
779,Gentamcin 120 mg/100mL NS premix,gentamicin in ns,Not Recorded,100 mL,1066,mL,100,
780,Gentamicin 100 mg/100 mL NS premix,gentamicin in ns,Not Recorded,100 mL,326,mL,100,
781,Gentamicin 100 mg/50 mL NS premix,gentamicin in ns,Not Recorded,50 mL,1293,mL,50,
782,Gentamicin 2mg/mL/NS neonate syringe,gentamicin in NS syringe,Not Recorded,none,408,,,
783,Gentamicin 4mg/mL/NS neonate syringe,gentamicin in NS syringe,Not Recorded,none,90,,,
784,Gentamicin 60 mg/50 mL NS premix,gentamicin in ns,Not Recorded,50 mL,2045,mL,50,
785,Gentamicin 80 mg/100mL NS premix,gentamicin in ns,Not Recorded,100 mL,928,mL,100,
786,Gentamicin 80 mg/2 mL inj,gentamicin,Not Recorded,2 mL,1717,mL,2,
787,Gentamicin 80 mg/50 mL NS premix,gentamicin in ns,Not Recorded,50 mL,8514,mL,50,
788,Gentamicin 800 mg/20 mL inj,gentamicin,Not Recorded,20 mL,6052,mL,20,
789,Gentamicin 8mg Intrathecal syringe,gentamicin intrathecal syringe,Not Recorded,none,1,,,
790,Glucagon 1 mg w/diluent inj,glucagon,Not Recorded,none,4174,,,
791,Glucose 25% 10mL inj,glucose,Not Recorded,10 mL,1,mL,10,
792,Glycopyrolate Inj for PO (Peds),glycopyrolate,Not Recorded,none,11,,,
793,Glycopyrrolate 0.2 mg/1 mL 5mL OR syringe,glycopyrrolate,Not Recorded,1 mL,27,mL,1,
794,Glycopyrrolate 0.2 mg/1 mL inj,glycopyrrolate,Not Recorded,1 mL,84111,mL,1,
795,Glycopyrrolate 0.2 mg/mL 20 mL inj,glycopyrrolate,Not Recorded,20 mL,30,mL,20,
796,Glycopyrrolate 0.2 mg/mL 5mL inj,glycopyrrolate,Not Recorded,5 mL,160,mL,5,
797,Glycopyrrolate 0.2 mg/mL syringe,glycopyrrolate,Not Recorded,none,153,,,
798,Glycopyrrolate 1 mg tab,glycopyrrolate,Not Recorded,none,8,,,
799,Glycopyrrolate 10 mcg/mL neonate syringe,glycopyrrolate,Not Recorded,none,1,,,
800,Glycopyrrolate 200mcg/mL oral neonate,glycopyrrolate,Not Recorded,none,9,,,
801,Granisetron 1 mg/1 mL inj,granisetron,Not Recorded,1 mL,6827,mL,1,
802,HYDROmorphone 0.5 mg/ 0.5mL,HYDROmorphone,Not Recorded,0.5 mL,267367,mL,0.5,
803,HYDROmorphone 0.5 mg/1ml,HYDROmorphone,Not Recorded,1 mL,141,mL,1,
804,HYDROmorphone 10mg/mL 50 mL inj for PCA,HYDROmorphone,Not Recorded,50 mL,2104,mL,50,
805,HYDROmorphone 2 mg/mL INJ,HYDROmorphone,Not Recorded,none,39635,,,
806,HYDROmorphone 4 mg/mL inj,HYDROmorphone,Not Recorded,none,13995,,,
807,HYDROmorphone PCA/NCA 1 mg/mL /NS syr,HYDROmorphone PCA/NCA 1 mg/ml NS syr,Not Recorded,none,513,,,
808,HYDROmorphone PF 10 mg/mL inj,HYDROmorphone PF,Not Recorded,none,4782,,,
809,HYDROmorphone PF 10 mg/mL inj ADD,HYDROmorphone,Milligram/Hour,none,24953,,,
810,Haloperidol 0.5 mg tab,haloperidol,Not Recorded,none,5,,,
811,Haloperidol 5 mg/1 mL inj,haloperidol,Not Recorded,1 mL,63653,mL,1,
812,Haloperidol decanoate 50 mg/ 1 mL inj,haloperidol,Not Recorded,1 mL,3,mL,1,
813,"HePARIN (1000unit/mL)10,000 units/10 mL inj",hePARIN,Not Recorded,10 mL,71072,mL,10,
814,"HePARIN 1,000 units/500 mL NS bag",hePARIN/ns,Not Recorded,500 mL,78,mL,500,
815,"HePARIN 1,000 units/mL 30 mL inj",hePARIN,Not Recorded,30 mL,213,mL,30,
816,"HePARIN 10,000 units/1 mL inj",hePARIN,Not Recorded,1 mL,1332,mL,1,
817,HePARIN 100 units /1 mL Flush PF,hePARIN flush pf,Not Recorded,1 mL,1241,mL,1,
818,HePARIN 100 units/mL 10mL syr.,hePARIN flush,Not Recorded,10 mL,17,mL,10,
819,HePARIN 1000 units/1 mL inj,hePARIN,Not Recorded,1 mL,11435,mL,1,
820,HePARIN 10000 units/1mL injection,hePARIN,Not Recorded,1 mL,90,mL,1,
821,"HePARIN 2,000 units/1,000 mL NS bag",hePARIN/ns,Not Recorded,000 mL,469,mL,0,
822,"HePARIN 30,000 unit(s)/NS 1000mL (EUOSH)",hePARIN in NS,Not Recorded,1000 mL,1,mL,1000,
823,"HePARIN 40,000 units/4 mL inj",hePARIN,Not Recorded,4 mL,1,mL,4,
824,"HePARIN 5,000 unit inj",hePARIN,Not Recorded,none,20313,,,
825,"HePARIN 5,000 units/ mL 10 mL inj",hePARIN,Not Recorded,10 mL,9,mL,10,
826,HePARIN 500 unit/5 mL Flush inj,hePARIN sodium-sodium chloride,Not Recorded,5 mL,4599,mL,5,
827,HePARIN Beef 10000 units/10mL inj,hePARIN beef,Not Recorded,10 mL,6,mL,10,
828,HePARIN Flush 100 Units/ mL 3 mL,hePARIN,Not Recorded,3 mL,12,mL,3,
829,HePARIN Flush neonate 1unit/mL in 1/2NS (Art-line),hePARIN flush in 1/2 NS neonate,Not Recorded,none,172,,,
830,HePARIN IR 1000 unit/mL/4 mL ADD,heparin,Not Recorded,4 mL,5928,mL,4,
831,Hemin 313 mg inj,hemin,Not Recorded,none,90,,,
832,Heparin 2000 unit/2mL inj,heparin,Not Recorded,2 mL,4,mL,2,
833,Heparin 4units/mL 1000mL (Neuro-Intervent Radiology),heparin in ns,Not Recorded,1000 mL,11,mL,1000,
834,Hepatitis B Immune Glob 5 mL inj (Hepagam B),hepatitis b im.glob,Not Recorded,5 mL,49,mL,5,
835,Hepatitis B immune globulin 1mL inj,hepatitis B immune globulin,Not Recorded,1 mL,1,mL,1,
836,Hetastarch 6%/ LR 500 mL bag,hetastarch 6% / lr,Hour,500 mL,1519,mL,500,
837,Hetastarch 6%/ NaCl 0.9% 500 mL bag,hetastarch 6% / ns,Not Recorded,500 mL,88,mL,500,
838,Hexaminolevulinate 100mg kit inj,hexaminolevulinate,Not Recorded,none,1,,,
839,Hyaluronidase 15 units/mL/NS neonate syringe,hyaluronidase in NS syringe,Not Recorded,none,2,,,
840,Hyaluronidase 150 units/mL inj,hyaluronidase,Not Recorded,none,1,,,
841,HydrALAZINE 10 mg tab,hydrALAZINE,Not Recorded,none,14,,,
842,HydrALAZINE 1mg/mL/NS neonate syringe,hydrALAZINE in NS syringe,Not Recorded,none,4,,,
843,HydrALAZINE 20 mg/1 mL inj,hydrALAZINE,Not Recorded,1 mL,285599,mL,1,
844,HydrALAZINE 25 mg tab,hydrALAZINE,Not Recorded,none,1,,,
845,HydrALAZINE 4 mg/mL Ped oral syringe,hydrALAZINE ped liq,Not Recorded,none,25,,,
846,HydrALAZINE 50 mg tab,hydrALAZINE,Not Recorded,none,20,,,
847,HydrOXYzine HCL 10 mg tab,hydrOXYzine,Not Recorded,none,1,,,
848,HydrOXYzine HCl 25 mg/mL inj,hydrOXYzine,Not Recorded,none,43,,,
849,Hydrocortisone  250 mg inj,hydrocortisone,Not Recorded,none,27,,,
